tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt0046187,movie,1953,80.0,"Crime,Film-Noir,Mystery",7.6,1.0,2.0,1.0,2.0,2.0,T18
tt0238552,movie,2001,100.0,"Action,Sci-Fi,Thriller",5.3,2.0,4.0,4.0,2.0,3.0,T16
tt0082966,movie,1981,86.0,Horror,6.1,2.0,4.0,1.0,1.0,4.0,T18
tt0115561,movie,1996,116.0,"Drama,Mystery,Romance",7.4,3.0,3.0,3.0,2.0,3.0,T16
tt8310474,movie,2020,129.0,"Drama,Sport",6.2,3.0,3.0,4.0,3.0,3.0,T16
tt0422093,movie,2005,116.0,"Comedy,Drama,Romance",5.7,2.0,3.0,3.0,2.0,3.0,T13
tt11628854,movie,2021,92.0,"Comedy,Drama",5.7,2.0,2.0,4.0,2.0,3.0,T13
tt0278295,movie,2002,95.0,"Action,Comedy,Crime",5.8,2.0,3.0,4.0,2.0,3.0,T16
tt0041996,movie,1949,132.0,"Drama,War",7.7,1.0,2.0,1.0,2.0,1.0,T13
tt0806027,movie,2009,91.0,"Action,Adventure,Fantasy",5.2,1.0,4.0,4.0,1.0,3.0,T16
tt0013257,movie,1922,91.0,"Documentary,Fantasy,Horror",7.6,3.0,3.0,2.0,1.0,3.0,T18
tt0091278,movie,1986,117.0,"Action,Thriller,War",5.5,1.0,2.0,3.0,1.0,2.0,T13
tt0494652,movie,2008,104.0,"Comedy,Romance",5.5,3.0,2.0,3.0,1.0,1.0,T13
tt1743720,movie,2011,90.0,"Comedy,Documentary",6.6,2.0,2.0,3.0,2.0,1.0,T13
tt5059406,movie,2016,89.0,"Drama,Horror,Mystery",4.6,1.0,2.0,2.0,1.0,2.0,T13
tt6303866,movie,2017,98.0,Drama,6.4,4.0,2.0,3.0,4.0,2.0,T16
tt0352520,movie,2004,122.0,"Biography,Comedy,Drama",6.9,3.0,2.0,4.0,4.0,2.0,T16
tt0455596,tvMovie,2006,92.0,"Action,Adventure,Comedy",6.1,1.0,3.0,2.0,3.0,3.0,K
tt11389748,movie,2021,111.0,Drama,7.6,1.0,1.0,2.0,1.0,3.0,T13
